Age,Gender,Weight (kg),Height (m),Workout_Type,Session_Duration (hours),Max_BPM,Avg_BPM,Resting_BPM,Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
56,Male,88.3,1.71,Yoga,1.69,180,157,60,1313,12.6,3.5,4,3,30.2
46,Female,74.9,1.53,HIIT,1.3,179,151,66,883,33.9,2.1,4,2,32
32,Female,68.1,1.66,Cardio,1.11,167,122,54,677,33.4,2.3,4,2,24.71
25,Male,53.2,1.7,Strength,0.59,190,164,56,532,28.8,2.1,3,1,18.41
38,Male,46.1,1.79,Strength,0.64,188,158,68,556,29.2,2.8,3,1,14.39
56,Female,58,1.68,HIIT,1.59,168,156,74,1116,15.5,2.7,5,3,20.55
36,Male,70.3,1.72,Cardio,1.49,174,169,73,1385,21.3,2.3,3,2,23.76
40,Female,69.7,1.51,Cardio,1.27,189,141,64,895,30.6,1.9,3,2,30.57
28,Male,121.7,1.94,Strength,1.03,185,127,52,719,28.9,2.6,4,2,32.34
28,Male,101.8,1.84,Cardio,1.08,169,136,64,808,29.7,2.7,3,1,30.07
41,Male,120.8,1.67,HIIT,0.82,188,146,54,593,20.5,3,2,1,43.31
53,Male,51.7,1.7,HIIT,1.15,175,152,72,865,23.6,3.5,3,2,17.89
57,Male,112.5,1.61,Cardio,1.24,195,165,61,1013,22.1,2.7,3,2,43.4
41,Male,94.5,2,HIIT,1.18,179,136,69,794,27.6,3.7,3,1,23.62
20,Male,117.7,1.81,Yoga,1.35,196,161,54,1195,26.4,3.3,3,2,35.93
39,Female,42.5,1.75,Strength,1.13,181,131,52,740,26.2,2.1,2,1,13.88
19,Female,64,1.53,HIIT,1.33,166,167,58,1111,29.8,2.3,3,2,27.34
41,Female,43.8,1.77,Cardio,1.19,182,165,58,884,31.9,1.6,3,1,13.98
47,Female,66.8,1.75,Strength,1.13,199,146,56,742,32.8,2.5,3,2,21.81
55,Female,75.2,1.67,HIIT,1.37,188,167,51,1030,25.2,2.2,2,1,26.96
19,Male,89,1.77,Strength,1.5,175,127,72,1048,28.9,3.7,4,2,28.41
38,Male,71.9,1.77,Cardio,1.12,197,142,72,875,25.7,3.1,2,1,22.95
50,Female,71,1.68,Yoga,1.17,187,161,70,848,33.1,2.5,2,1,25.16
29,Male,120.9,1.78,Yoga,0.78,197,168,65,721,28.1,3.4,2,1,38.16
39,Female,64.3,1.69,HIIT,1.25,190,148,58,925,26.9,1.9,4,2,22.51
42,Female,63.7,1.71,Yoga,1.42,173,169,62,1080,26.1,1.8,3,2,21.78
44,Male,65.2,1.8,HIIT,0.73,192,139,68,502,27.2,2.7,2,1,20.12
59,Male,53.9,1.75,Strength,1.48,168,135,69,989,21.6,2.8,4,2,17.6
45,Male,84.9,1.86,HIIT,1.64,186,136,66,1104,14.2,3.5,5,3,24.54
33,Female,78,1.68,HIIT,1.29,183,135,55,871,32.3,1.8,3,2,27.64
32,Male,108.2,1.8,HIIT,1.27,172,138,53,964,28.4,3.5,3,1,33.4
20,Female,65.4,1.52,Yoga,1.03,185,127,50,654,28,2.2,4,2,28.31
54,Female,50.2,1.61,HIIT,1.48,188,157,67,1046,28.2,2.7,2,1,19.37
24,Female,58.9,1.51,Cardio,1.04,187,157,68,816,31.7,2.5,2,1,25.83
38,Male,81.4,1.71,HIIT,1.52,187,148,58,1237,10.2,3.5,5,3,27.84
26,Male,127.6,1.73,Strength,1.32,167,160,62,1162,27.3,2.9,3,1,42.63
56,Female,59.3,1.56,Cardio,1.26,182,155,57,879,33.4,2.6,4,2,24.37
35,Male,96.9,1.71,Strength,1.34,188,145,72,1069,24.2,2.9,3,2,33.14
21,Male,62.6,1.81,Strength,1.3,164,150,62,1072,27.6,3.5,4,2,19.11
42,Male,45.5,1.6,Strength,1.31,166,163,64,1057,21.7,2.6,3,2,17.77
31,Female,48.8,1.51,Cardio,1.48,195,131,60,969,28.2,2,2,1,21.4
26,Female,44.3,1.6,Cardio,1.08,186,136,61,734,34.7,2,3,1,17.3
43,Male,113.2,1.83,Yoga,1.45,161,134,63,962,29.9,2.9,4,2,33.8
19,Female,60.5,1.59,Cardio,1.14,184,128,53,730,30.1,2.2,2,1,23.93
37,Male,124.2,1.76,HIIT,1.5,168,158,50,1304,29.3,2.8,2,1,40.1
45,Male,52.4,1.85,Strength,1.2,186,161,73,956,25.2,2.5,3,1,15.31
24,Male,54.7,1.74,Yoga,0.84,160,167,53,772,22.9,3.6,3,1,18.07
25,Male,88.1,1.95,Cardio,1.41,182,131,68,1016,22.7,3,2,1,23.17
52,Female,59.7,1.71,Strength,1.23,169,151,58,836,34.3,2,3,1,20.42
31,Female,79.7,1.54,Cardio,1.03,184,144,59,742,26.7,2.3,4,2,33.61
34,Female,51,1.62,Yoga,1.42,162,158,53,1122,30.8,2.4,3,2,19.43
53,Male,84.2,1.76,Cardio,1.67,165,137,69,1133,12.8,3.5,5,3,27.18
57,Male,122.1,1.89,Cardio,1.13,165,134,58,750,27.4,3.6,3,1,34.18
21,Male,96.7,1.72,Strength,1.26,161,151,62,1046,25,2.8,3,1,32.69
19,Female,73,1.79,HIIT,0.81,177,125,61,506,27.7,1.6,3,1,22.78
23,Male,114.8,1.6,Cardio,1.47,182,163,60,1318,21.7,2.7,4,2,44.84
59,Female,65.5,1.52,Yoga,1.4,161,162,61,1021,31.2,2.1,3,2,28.35
21,Female,50.3,1.52,Cardio,1.08,171,154,67,832,32.2,2.6,3,1,21.77
46,Female,61,1.71,Cardio,1.67,181,153,61,1150,17.8,2.7,4,3,20.86
35,Female,44.6,1.62,HIIT,0.56,196,157,65,440,32.4,2,2,1,16.99
43,Female,58.2,1.61,Strength,1.04,179,124,54,580,26.4,2.6,3,2,22.45
51,Female,44.8,1.63,Yoga,1.08,198,137,69,666,33.8,2.1,4,2,16.86
27,Male,87.5,1.63,Strength,1.75,183,135,74,1299,12.9,3.5,5,3,32.93
53,Male,51.8,1.74,Strength,1.23,179,127,61,773,21.3,3.7,3,2,17.11
31,Female,64.4,1.7,Strength,1.97,160,144,70,1418,17.3,2.7,5,3,22.28
48,Female,67.1,1.61,Cardio,0.62,160,151,74,421,33.4,1.5,2,1,25.89
32,Male,85.9,1.6,HIIT,1.99,176,145,60,1587,14.5,3.5,5,3,33.55
25,Female,65.4,1.77,Cardio,0.89,160,141,58,627,27.6,2.6,3,1,20.88
